"episode","scenario","score","seed.biomass"
96,"low_nitrate_run96.csv",15.8574911106904,6
97,"low_nitrate_run97.csv",13.8266874375503,5
98,"low_nitrate_run98.csv",33.4421825778122,12
99,"low_nitrate_run99.csv",35.230907764996,12
100,"low_nitrate_run100.csv",13.9568982119493,6
101,"low_nitrate_run101.csv",12.2862482419991,6
102,"low_nitrate_run102.csv",48.6815009269521,16.6247418193518
103,"low_nitrate_run103.csv",34.2728523959222,12
104,"low_nitrate_run104.csv",16.9120808024762,5.99939926866281
105,"low_nitrate_run105.csv",16.7997849550035,6
106,"low_nitrate_run106.csv",52.6469916013648,18
107,"low_nitrate_run107.csv",16.6497926761315,6
108,"low_nitrate_run108.csv",14.436871502336,6
109,"low_nitrate_run109.csv",13.2610872331116,5
110,"low_nitrate_run110.csv",12.7344418119448,5
111,"low_nitrate_run111.csv",16.7291499981447,5.71784317452992
112,"low_nitrate_run112.csv",14.5994362676566,5
113,"low_nitrate_run113.csv",34.9267136942441,11.9936265748318
114,"low_nitrate_run114.csv",13.3088542199732,5
115,"low_nitrate_run115.csv",16.5994330510344,6
116,"low_nitrate_run116.csv",16.9759326591518,6
117,"low_nitrate_run117.csv",18.1497926761315,6
118,"low_nitrate_run118.csv",34.6654106163248,12
119,"low_nitrate_run119.csv",14.3169848277344,5
120,"low_nitrate_run120.csv",13.5726076986453,5
121,"low_nitrate_run121.csv",33.5604897796478,12
122,"low_nitrate_run122.csv",32.9136711180072,11.9950436741178
123,"low_nitrate_run123.csv",16.6913519501839,5.99187093186276
124,"low_nitrate_run124.csv",13.0017160326534,6
125,"low_nitrate_run125.csv",20.4626778954999,7.10466681500748
126,"low_nitrate_run126.csv",33.8803588549815,12
127,"low_nitrate_run127.csv",11.8793140801683,4.03134424394613
128,"low_nitrate_run128.csv",16.6399561488245,5.99992190236569
129,"low_nitrate_run129.csv",14.0786902915248,5
130,"low_nitrate_run130.csv",13.8365861526625,6
131,"low_nitrate_run131.csv",12.1588191452996,4.02131949042229
132,"low_nitrate_run132.csv",17.0200089974018,6
133,"low_nitrate_run133.csv",35.0979450765878,11.9493854215633
134,"low_nitrate_run134.csv",34.4434173428719,12
135,"low_nitrate_run135.csv",15.4388873033806,6
136,"low_nitrate_run136.csv",12.0013030703566,5
137,"low_nitrate_run137.csv",44.455662229971,16.1475322299494
138,"low_nitrate_run138.csv",12.9529893445323,5
139,"low_nitrate_run139.csv",12.9284824793674,5
140,"low_nitrate_run140.csv",35.9229423705605,11.9911697731754
141,"low_nitrate_run141.csv",16.7660421586365,6
142,"low_nitrate_run142.csv",15.6945751199562,5.47507959158366
143,"low_nitrate_run143.csv",17.6994330510344,6
144,"low_nitrate_run144.csv",34.394981244058,12
145,"low_nitrate_run145.csv",15.1324581141979,6
146,"low_nitrate_run146.csv",16.0220749540418,5.9956155869022
147,"low_nitrate_run147.csv",35.7685108730785,12
148,"low_nitrate_run148.csv",18.5997926761315,6
149,"low_nitrate_run149.csv",14.659466375014,5
150,"low_nitrate_run150.csv",15.2450101024708,6
151,"low_nitrate_run151.csv",16.0947608529914,6
152,"low_nitrate_run152.csv",7.21416332997318,3.1436671756579
153,"low_nitrate_run153.csv",12.1291924605801,5
154,"low_nitrate_run154.csv",35.5930244489909,12
155,"low_nitrate_run155.csv",31.9608775850745,11
156,"low_nitrate_run156.csv",28.9001422694101,10
157,"low_nitrate_run157.csv",35.6497888118978,12
158,"low_nitrate_run158.csv",14.4291652893612,6
159,"low_nitrate_run159.csv",66.6313557191757,24
160,"low_nitrate_run160.csv",16.7514152650181,6
161,"low_nitrate_run161.csv",35.6291784714674,12
162,"low_nitrate_run162.csv",12.8217472426131,5
163,"low_nitrate_run163.csv",17.9479592682586,6
164,"low_nitrate_run164.csv",35.4534238896572,12
165,"low_nitrate_run165.csv",15.5297033405798,5
166,"low_nitrate_run166.csv",16.5713847065136,6
167,"low_nitrate_run167.csv",33.6771513941667,12
168,"low_nitrate_run168.csv",34.8326969222102,12
169,"low_nitrate_run169.csv",35.5940634970651,12
170,"low_nitrate_run170.csv",29.2577216187849,10
171,"low_nitrate_run171.csv",12.4638294257862,3.99144304286428
172,"low_nitrate_run172.csv",33.8006540750683,12
173,"low_nitrate_run173.csv",27.7911544864532,10.1611886160458
174,"low_nitrate_run174.csv",31.7330000092446,11
175,"low_nitrate_run175.csv",15.4111278905009,6
176,"low_nitrate_run176.csv",15.4263800927612,5.42969422261114
177,"low_nitrate_run177.csv",12.6557029381576,4.00000000006751
178,"low_nitrate_run178.csv",16.023316060125,6
179,"low_nitrate_run179.csv",34.0882185953749,12
180,"low_nitrate_run180.csv",35.3900688818127,12
181,"low_nitrate_run181.csv",14.5115936111055,5
182,"low_nitrate_run182.csv",14.3482893994905,6
183,"low_nitrate_run183.csv",15.8006672374684,6
184,"low_nitrate_run184.csv",35.0412938749806,12
185,"low_nitrate_run185.csv",51.9198788721461,18
186,"low_nitrate_run186.csv",15.2658282256586,6
187,"low_nitrate_run187.csv",35.7091099900706,12
188,"low_nitrate_run188.csv",33.7767254180412,11.5946763080413
189,"low_nitrate_run189.csv",30.8487813635418,10.0244414940212
190,"low_nitrate_run190.csv",29.9036934700362,10.0068939696028
191,"low_nitrate_run191.csv",33.1156010457239,12
192,"low_nitrate_run192.csv",16.1811187193311,6
193,"low_nitrate_run193.csv",15.4670375979658,6
194,"low_nitrate_run194.csv",16.168894848883,6
195,"low_nitrate_run195.csv",32.6189146288283,12
196,"low_nitrate_run196.csv",34.9904668037756,12
197,"low_nitrate_run197.csv",33.128918042656,12
198,"low_nitrate_run198.csv",32.922942848288,12
199,"low_nitrate_run199.csv",14.2015403108865,6
200,"low_nitrate_run200.csv",13.9440428690681,6
201,"low_nitrate_run201.csv",30.7999705923548,11
202,"low_nitrate_run202.csv",14.4977224896851,6
203,"low_nitrate_run203.csv",13.4943683669457,6
204,"low_nitrate_run204.csv",17.3916452365995,6
205,"low_nitrate_run205.csv",17.0600794054099,6
206,"low_nitrate_run206.csv",19.3751323243254,6.46086880004921
207,"low_nitrate_run207.csv",17.5494362676566,6
208,"low_nitrate_run208.csv",51.9135682082941,18
209,"low_nitrate_run209.csv",45.3963948376964,17
210,"low_nitrate_run210.csv",12.4332310919599,6
211,"low_nitrate_run211.csv",8.6666744035864,6
212,"low_nitrate_run212.csv",31.0781557616226,12
213,"low_nitrate_run213.csv",26.6871856832482,12
214,"low_nitrate_run214.csv",17.4166551181475,6
215,"low_nitrate_run215.csv",16.1394042645527,6
216,"low_nitrate_run216.csv",34.5024861882428,12
217,"low_nitrate_run217.csv",17.8985512679629,6
218,"low_nitrate_run218.csv",16.3937720988749,6
219,"low_nitrate_run219.csv",16.6977040086127,6
220,"low_nitrate_run220.csv",15.3626496654303,5.99458008426413
221,"low_nitrate_run221.csv",14.4717561372047,6
222,"low_nitrate_run222.csv",16.0930965027135,5.99291678515572
223,"low_nitrate_run223.csv",12.9813039786135,6
224,"low_nitrate_run224.csv",14.1477024874923,6
225,"low_nitrate_run225.csv",21.7717182289248,12
226,"low_nitrate_run226.csv",29.8939524452306,12
227,"low_nitrate_run227.csv",14.6791950827323,6
228,"low_nitrate_run228.csv",46.1603748974532,18
229,"low_nitrate_run229.csv",30.8438788111813,12
230,"low_nitrate_run230.csv",14.6903861076086,5.99045915200709
231,"low_nitrate_run231.csv",14.3482839557559,6
232,"low_nitrate_run232.csv",12.6657812926156,5
233,"low_nitrate_run233.csv",30.4226940552898,12
234,"low_nitrate_run234.csv",29.557896761945,12
235,"low_nitrate_run235.csv",17.6509762904151,6
236,"low_nitrate_run236.csv",17.1771656878835,6
237,"low_nitrate_run237.csv",16.49034206752,6
238,"low_nitrate_run238.csv",15.207610406656,6
239,"low_nitrate_run239.csv",42.0789490060429,17
240,"low_nitrate_run240.csv",12.4420942068209,5.99944553015273
241,"low_nitrate_run241.csv",17.1340211973688,6
242,"low_nitrate_run242.csv",60.7295243682616,24
243,"low_nitrate_run243.csv",15.8506401141601,6
244,"low_nitrate_run244.csv",45.3191555295186,16
245,"low_nitrate_run245.csv",17.2369484061929,6
246,"low_nitrate_run246.csv",15.5059805416614,6
247,"low_nitrate_run247.csv",11.5657134856448,4
248,"low_nitrate_run248.csv",16.7848141942157,6
249,"low_nitrate_run249.csv",14.3580859944851,5
250,"low_nitrate_run250.csv",18.3994330510344,6
251,"low_nitrate_run251.csv",16.0844877177172,6
252,"low_nitrate_run252.csv",14.2821787728295,5.07262932317818
253,"low_nitrate_run253.csv",15.030123410912,5
254,"low_nitrate_run254.csv",23.0499661046642,7.63192402032159
255,"low_nitrate_run255.csv",34.9826748151312,12
256,"low_nitrate_run256.csv",31.0513197837027,11
257,"low_nitrate_run257.csv",29.2198766917636,11.0791730284539
258,"low_nitrate_run258.csv",33.0341763063651,12
259,"low_nitrate_run259.csv",17.4501394117465,6
260,"low_nitrate_run260.csv",14.8903862558529,5.99769108004231
261,"low_nitrate_run261.csv",32.3606538361374,11
262,"low_nitrate_run262.csv",17.0727589988314,6
263,"low_nitrate_run263.csv",15.8597565661391,6
264,"low_nitrate_run264.csv",51.1799082880249,18
265,"low_nitrate_run265.csv",13.4014382803642,5
266,"low_nitrate_run266.csv",16.4342605594946,6
267,"low_nitrate_run267.csv",14.8446117949024,5
268,"low_nitrate_run268.csv",27.7403468741138,9
269,"low_nitrate_run269.csv",30.584677407948,11
270,"low_nitrate_run270.csv",15.6414965583879,5
271,"low_nitrate_run271.csv",15.7189662165955,5.07223030285223
272,"low_nitrate_run272.csv",15.0127411889945,6
273,"low_nitrate_run273.csv",18.3517783765498,6
274,"low_nitrate_run274.csv",31.1301439269345,11.2187113066857
275,"low_nitrate_run275.csv",12.3658343262909,4
276,"low_nitrate_run276.csv",34.8448380879936,12
277,"low_nitrate_run277.csv",17.4890916663355,6
278,"low_nitrate_run278.csv",47.2133601413712,15.6990043295863
279,"low_nitrate_run279.csv",15.5678418352842,5
280,"low_nitrate_run280.csv",33.8089224987334,11.0030445622786
281,"low_nitrate_run281.csv",0.404308540369319,0.505270642755477
282,"low_nitrate_run282.csv",34.5065002797372,11.4355704892798
283,"low_nitrate_run283.csv",52.2016726795561,18
284,"low_nitrate_run284.csv",16.8394294374198,6
285,"low_nitrate_run285.csv",33.1976831759441,12
286,"low_nitrate_run286.csv",9.80399982173396,4
287,"low_nitrate_run287.csv",17.1965572281506,6
288,"low_nitrate_run288.csv",15.2984580539878,5
289,"low_nitrate_run289.csv",14.6948913284186,6
290,"low_nitrate_run290.csv",35.1952283200929,12
291,"low_nitrate_run291.csv",35.2659044573944,12
292,"low_nitrate_run292.csv",17.9631773174819,6
293,"low_nitrate_run293.csv",51.7071733996725,18
294,"low_nitrate_run294.csv",16.8008582628764,6
295,"low_nitrate_run295.csv",18.1309660604845,5.99955171598017
296,"low_nitrate_run296.csv",50.0059351011117,18
297,"low_nitrate_run297.csv",34.6899250439862,12
298,"low_nitrate_run298.csv",47.1328317709281,18
299,"low_nitrate_run299.csv",13.8649785274313,6
300,"low_nitrate_run300.csv",67.8279656932603,24
301,"low_nitrate_run301.csv",17.1692849165725,5.99385606469743
302,"low_nitrate_run302.csv",49.4402201680556,17
303,"low_nitrate_run303.csv",15.7733713974944,6
304,"low_nitrate_run304.csv",17.7472330665001,6
305,"low_nitrate_run305.csv",70.1550639609648,24.0512710881638
306,"low_nitrate_run306.csv",50.971773684688,18
307,"low_nitrate_run307.csv",69.8950213544595,24
308,"low_nitrate_run308.csv",15.1560483672791,6
309,"low_nitrate_run309.csv",34.6118830714539,12
310,"low_nitrate_run310.csv",17.9776303945956,6
311,"low_nitrate_run311.csv",53.0743825212199,18
312,"low_nitrate_run312.csv",31.9110446278581,11
313,"low_nitrate_run313.csv",67.8623574456991,24
314,"low_nitrate_run314.csv",34.5136178786106,14.9601373489624
315,"low_nitrate_run315.csv",11.8950757291939,5
316,"low_nitrate_run316.csv",33.0226762885939,11.9910044794602
317,"low_nitrate_run317.csv",36.5497888118978,12
318,"low_nitrate_run318.csv",13.0862186891361,5.48114959458532
319,"low_nitrate_run319.csv",52.2520485721766,18
320,"low_nitrate_run320.csv",33.705548967569,12
321,"low_nitrate_run321.csv",51.1718538874023,17.9903988121249
322,"low_nitrate_run322.csv",16.4483486562672,6
323,"low_nitrate_run323.csv",17.0534621398541,6
324,"low_nitrate_run324.csv",17.4163689876865,6
325,"low_nitrate_run325.csv",44.0221255343204,18
326,"low_nitrate_run326.csv",34.1611192906137,12
327,"low_nitrate_run327.csv",32.2128440994705,12
328,"low_nitrate_run328.csv",32.9606270454081,12
329,"low_nitrate_run329.csv",31.9472799971575,12
330,"low_nitrate_run330.csv",16.3117538264687,6
331,"low_nitrate_run331.csv",14.5997888118978,5
332,"low_nitrate_run332.csv",16.4497888118978,6
333,"low_nitrate_run333.csv",12.310776957119,6
334,"low_nitrate_run334.csv",13.8512152407862,6
335,"low_nitrate_run335.csv",33.5520645729352,12
336,"low_nitrate_run336.csv",50.3101346886893,18
337,"low_nitrate_run337.csv",83.891464719852,30
338,"low_nitrate_run338.csv",34.2512814714297,11.9902187933252
339,"low_nitrate_run339.csv",18.1497888118978,6
340,"low_nitrate_run340.csv",30.2357227091114,11
341,"low_nitrate_run341.csv",13.2841104962606,6
342,"low_nitrate_run342.csv",12.5175648497791,6
343,"low_nitrate_run343.csv",15.6011135962545,6
344,"low_nitrate_run344.csv",16.4128923056421,6
345,"low_nitrate_run345.csv",16.8501012261597,6
346,"low_nitrate_run346.csv",53.6588316048714,18
347,"low_nitrate_run347.csv",16.3358940385688,6
348,"low_nitrate_run348.csv",35.6128017347018,12
349,"low_nitrate_run349.csv",14.7398603849185,5
350,"low_nitrate_run350.csv",34.1083014107403,11.9970032905829
351,"low_nitrate_run351.csv",17.647837864665,6
352,"low_nitrate_run352.csv",18.047984400884,6
353,"low_nitrate_run353.csv",32.9979320529176,12
354,"low_nitrate_run354.csv",36.0310467663776,12
355,"low_nitrate_run355.csv",16.0833608700195,6
356,"low_nitrate_run356.csv",15.5641994353575,6
357,"low_nitrate_run357.csv",68.3174457923973,23
358,"low_nitrate_run358.csv",53.3815157526789,18
359,"low_nitrate_run359.csv",17.5524701649663,6.04247804341811
360,"low_nitrate_run360.csv",86.7116656763548,29
361,"low_nitrate_run361.csv",69.6523878218943,22.9675317152543
362,"low_nitrate_run362.csv",52.7233789921591,18
363,"low_nitrate_run363.csv",84.9325540758462,28.723217900082
364,"low_nitrate_run364.csv",51.5066585076252,17.5535175968799
365,"low_nitrate_run365.csv",36.0994362676566,12
366,"low_nitrate_run366.csv",51.6420305691845,17
367,"low_nitrate_run367.csv",63.7552250598904,21.5367882802792
368,"low_nitrate_run368.csv",15.5042556494671,5.31706061982388
369,"low_nitrate_run369.csv",54.2520520715324,18.1672799663106
370,"low_nitrate_run370.csv",27.9089418691008,10
371,"low_nitrate_run371.csv",53.1785456487197,18
372,"low_nitrate_run372.csv",58.2553881159359,19.6713674329991
373,"low_nitrate_run373.csv",15.3565840837264,5
374,"low_nitrate_run374.csv",35.2688648132035,12
375,"low_nitrate_run375.csv",33.7876041066866,12
376,"low_nitrate_run376.csv",80.5821565246399,28
377,"low_nitrate_run377.csv",52.8990353576089,18
378,"low_nitrate_run378.csv",68.5296673247518,23.2492595880122
379,"low_nitrate_run379.csv",59.8962193172635,20.3614765585286
380,"low_nitrate_run380.csv",85.2497888118978,28
381,"low_nitrate_run381.csv",80.7759345895581,27
382,"low_nitrate_run382.csv",54.8494330510344,18
383,"low_nitrate_run383.csv",50.7762593549874,17
384,"low_nitrate_run384.csv",51.0115239933833,18
385,"low_nitrate_run385.csv",67.6165723377512,23
386,"low_nitrate_run386.csv",51.7798825635755,18
387,"low_nitrate_run387.csv",56.0431042290989,18.8940389026858
388,"low_nitrate_run388.csv",69.829709617684,23
389,"low_nitrate_run389.csv",36.496375931948,12
390,"low_nitrate_run390.csv",49.7121763071746,16.5542477520467
391,"low_nitrate_run391.csv",33.3870284882356,11
392,"low_nitrate_run392.csv",19.0011046627582,6.53513716189128
393,"low_nitrate_run393.csv",71.3904955051593,24
394,"low_nitrate_run394.csv",71.3081185732564,24.1605933382777
395,"low_nitrate_run395.csv",15.0643559758449,6
396,"low_nitrate_run396.csv",13.3526801680234,5
397,"low_nitrate_run397.csv",36.1214542876043,13.1084763069388
398,"low_nitrate_run398.csv",52.9468180594656,18.0584850405909
399,"low_nitrate_run399.csv",28.6929204364697,9.39515615384308
400,"low_nitrate_run400.csv",38.2087679712068,13.2897418521153
401,"low_nitrate_run401.csv",16.5394808310013,6
402,"low_nitrate_run402.csv",66.5301893437907,24
403,"low_nitrate_run403.csv",34.0697102075737,12
404,"low_nitrate_run404.csv",50.5619177210638,18
405,"low_nitrate_run405.csv",43.0626584481479,14.9520204946772
406,"low_nitrate_run406.csv",44.0657161295567,16.4066013288487
407,"low_nitrate_run407.csv",19.3372775778846,6.60207578881041
408,"low_nitrate_run408.csv",85.1195599063796,30
409,"low_nitrate_run409.csv",77.5788486997883,28.6753094174769
410,"low_nitrate_run410.csv",53.0705665256786,19.4447448250324
411,"low_nitrate_run411.csv",45.2068516166662,18
412,"low_nitrate_run412.csv",25.1104661948248,9.68740423952088
413,"low_nitrate_run413.csv",49.3715066140904,18
414,"low_nitrate_run414.csv",87.3234938881818,30
415,"low_nitrate_run415.csv",35.3017015776892,11.9922003261941
416,"low_nitrate_run416.csv",83.2003923354354,30
417,"low_nitrate_run417.csv",49.8943642046205,18
418,"low_nitrate_run418.csv",69.0644610759325,24
419,"low_nitrate_run419.csv",66.1547641783258,23
420,"low_nitrate_run420.csv",45.1957139202954,19.4442415109715
421,"low_nitrate_run421.csv",50.0680699976677,18
422,"low_nitrate_run422.csv",60.4702429816194,22.5693791813915
423,"low_nitrate_run423.csv",50.0018689709071,17
424,"low_nitrate_run424.csv",71.3026672901899,24
425,"low_nitrate_run425.csv",36.046535428803,11.9945686681095
426,"low_nitrate_run426.csv",69.7256677362821,24
427,"low_nitrate_run427.csv",49.7791944413146,17.103484028839
428,"low_nitrate_run428.csv",34.4385521333964,12
429,"low_nitrate_run429.csv",26.5114416398047,10.9980240340335
430,"low_nitrate_run430.csv",32.6969530412569,11.9943021124752
431,"low_nitrate_run431.csv",33.4018736788145,12
432,"low_nitrate_run432.csv",50.0847958440757,18
433,"low_nitrate_run433.csv",35.4114790411888,11.9993019874028
434,"low_nitrate_run434.csv",50.3827960151389,18
435,"low_nitrate_run435.csv",37.8284251872782,13.6811204861181
436,"low_nitrate_run436.csv",32.9979350614684,12
437,"low_nitrate_run437.csv",52.6636255851349,18
438,"low_nitrate_run438.csv",18.1157071584305,6
439,"low_nitrate_run439.csv",25.7979304637371,10.5683829400262
440,"low_nitrate_run440.csv",53.1064563758582,18
441,"low_nitrate_run441.csv",54.1399720966166,18
442,"low_nitrate_run442.csv",34.3942657278347,12
443,"low_nitrate_run443.csv",54.2587857012848,18
444,"low_nitrate_run444.csv",35.8471547558574,12
445,"low_nitrate_run445.csv",16.9372505321426,6
446,"low_nitrate_run446.csv",82.8880133429743,30
447,"low_nitrate_run447.csv",34.6338807808742,11.9934400610835
448,"low_nitrate_run448.csv",32.4528336040969,12
449,"low_nitrate_run449.csv",36.7227361482914,12
450,"low_nitrate_run450.csv",35.7994330510344,12
451,"low_nitrate_run451.csv",53.4493880446342,18
452,"low_nitrate_run452.csv",15.3044762405483,5
453,"low_nitrate_run453.csv",53.6037884371411,18
454,"low_nitrate_run454.csv",52.8416398789605,17.9927761569897
455,"low_nitrate_run455.csv",16.4163944066137,6
456,"low_nitrate_run456.csv",59.7423348222018,21.0749311945244
457,"low_nitrate_run457.csv",50.6637657822458,18
458,"low_nitrate_run458.csv",41.3299614881079,15.2522148675451
459,"low_nitrate_run459.csv",17.3474133276823,6
460,"low_nitrate_run460.csv",39.9590659399221,15.5606437423024
461,"low_nitrate_run461.csv",27.5599215433466,13.8296535842885
462,"low_nitrate_run462.csv",48.8691124977771,18
463,"low_nitrate_run463.csv",-0.418617588786892,0.485515578416109
464,"low_nitrate_run464.csv",40.9614826003406,14.8543075431491
465,"low_nitrate_run465.csv",86.2835907978403,30
466,"low_nitrate_run466.csv",18.2458481035331,6
467,"low_nitrate_run467.csv",34.5158171618376,12
468,"low_nitrate_run468.csv",52.8926418790707,18
469,"low_nitrate_run469.csv",66.5882145874899,24
470,"low_nitrate_run470.csv",61.4822180916859,20.7547513035382
471,"low_nitrate_run471.csv",18.2997926761315,6
472,"low_nitrate_run472.csv",52.6538126547173,18
473,"low_nitrate_run473.csv",78.9900479241559,27.7934160714121
474,"low_nitrate_run474.csv",71.79958341702,24
475,"low_nitrate_run475.csv",53.3635448947884,18
476,"low_nitrate_run476.csv",71.8115450458923,24
477,"low_nitrate_run477.csv",63.2814674228078,21.7230352141957
478,"low_nitrate_run478.csv",18.1494362676566,6
479,"low_nitrate_run479.csv",17.8994330510344,6
480,"low_nitrate_run480.csv",31.5853965055999,11
481,"low_nitrate_run481.csv",64.1629575229791,24
482,"low_nitrate_run482.csv",31.2293022397453,11
483,"low_nitrate_run483.csv",42.5074296624489,15.7177194761082
484,"low_nitrate_run484.csv",33.588440238194,12
485,"low_nitrate_run485.csv",18.2253953574846,6
486,"low_nitrate_run486.csv",34.6271086689162,12
487,"low_nitrate_run487.csv",14.529500839571,5
488,"low_nitrate_run488.csv",47.8302913322892,18
489,"low_nitrate_run489.csv",32.1721233440974,12
490,"low_nitrate_run490.csv",17.1383573437383,6
491,"low_nitrate_run491.csv",51.5901004679677,18
492,"low_nitrate_run492.csv",49.2227538228724,18
493,"low_nitrate_run493.csv",75.5352005258989,29.9920685113434
494,"low_nitrate_run494.csv",71.7565519300593,28.7156819998939
495,"low_nitrate_run495.csv",52.6821381823667,18
496,"low_nitrate_run496.csv",34.108089327825,12
497,"low_nitrate_run497.csv",51.9595769586417,18
498,"low_nitrate_run498.csv",18.1137220873045,6
499,"low_nitrate_run499.csv",51.7114991644027,18
500,"low_nitrate_run500.csv",17.5654369784825,5.77476311932669
501,"low_nitrate_run501.csv",60.9468091335835,23.2008393111277
502,"low_nitrate_run502.csv",66.7765694852718,24
503,"low_nitrate_run503.csv",52.7207132456583,19.3434093304181
504,"low_nitrate_run504.csv",79.0226919106439,29
